DATE,IPG22;11A2N
10/1/1992,;690.286
11/1/1992,;734.992
12/1/1992,;845.159
1/1/1993,8;79.464
2/1/1993,8;45.561
3/1/1993,7;94.747
4/1/1993,7;10.578
5/1/1993,6;76.762
6/1/1993,7;43.297
7/1/1993,8;21.048
8/1/1993,8;20.605
9/1/1993,7;46.031
10/1/1993,;69.681
11/1/1993,;744.292
12/1/1993,;842.284
1/1/1994,9;41.386
2/1/1994,8;71.607
3/1/1994,7;92.456
4/1/1994,7;0.9749
5/1/1994,6;93.844
6/1/1994,7;79.831
7/1/1994,8;3.277
8/1/1994,8;18.872
9/1/1994,7;56.826
10/1/1994,;712.661
11/1/1994,;752.458
12/1/1994,;848.147
1/1/1995,9;24.532
2/1/1995,8;74.033
3/1/1995,8;12.661
4/1/1995,7;38.167
5/1/1995,7;32.682
6/1/1995,7;83.026
7/1/1995,8;59.841
8/1/1995,8;95.467
9/1/1995,7;85.035
10/1/1995,;737.066
11/1/1995,;796.543
12/1/1995,;908.251
1/1/1996,9;89.732
2/1/1996,9;28.883
3/1/1996,8;69.356
4/1/1996,7;72.214
5/1/1996,7;66.826
6/1/1996,8;19.306
7/1/1996,8;59.606
8/1/1996,8;65.562
9/1/1996,7;91.919
10/1/1996,;746.891
11/1/1996,;81.074
12/1/1996,;904.855
1/1/1997,9;84.613
2/1/1997,8;97.795
3/1/1997,8;30.125
4/1/1997,7;61.476
5/1/1997,7;38.471
6/1/1997,7;97.645
7/1/1997,8;84.519
8/1/1997,8;77.828
9/1/1997,8;19.386
10/1/1997,;775.027
11/1/1997,;820.448
12/1/1997,;92.101
1/1/1998,9;4.792
2/1/1998,8;7.82
3/1/1998,8;65.549
4/1/1998,7;67.521
5/1/1998,7;80.303
6/1/1998,8;64.579
7/1/1998,9;38.379
8/1/1998,9;3.531
9/1/1998,8;75.414
10/1/1998,;800.924
11/1/1998,;814.349
12/1/1998,;916.841
1/1/1999,1;21.348
2/1/1999,9;11.829
3/1/1999,9;0.7381
4/1/1999,8;0.5176
5/1/1999,7;93.887
6/1/1999,8;78.431
7/1/1999,9;74.903
8/1/1999,9;64.157
9/1/1999,8;72.248
10/1/1999,;806.409
11/1/1999,;822.025
12/1/1999,;945.113
1/1/2000,1;22.301
2/1/2000,9;42.989
3/1/2000,8;80.927
4/1/2000,8;14.425
5/1/2000,8;44.552
6/1/2000,9;10.406
7/1/2000,9;59.957
8/1/2000,9;93.704
9/1/2000,9;0.9178
10/1/2000,;831.408
11/1/2000,;88.041
12/1/2000,;1.024.558
1/1/2001,1;91.081
2/1/2001,9;71.717
3/1/2001,9;28.283
4/1/2001,8;2.915
5/1/2001,8;25.465
6/1/2001,9;0.3955
7/1/2001,9;6.074
8/1/2001,9;95.534
9/1/2001,8;8.281
10/1/2001,;82.686
11/1/2001,;829.319
12/1/2001,;930.381
1/1/2002,1;29.955
2/1/2002,9;52.075
3/1/2002,9;32.556
4/1/2002,8;5.795
5/1/2002,8;52.351
6/1/2002,9;31.896
7/1/2002,1;2.393
8/1/2002,1;16.293
9/1/2002,9;33.089
10/1/2002,;869.002
11/1/2002,;885.749
12/1/2002,;1.008.003
1/1/2003,1;101.807
2/1/2003,1;38.413
3/1/2003,9;45.532
4/1/2003,8;5.062
5/1/2003,8;54.653
6/1/2003,9;10.761
7/1/2003,1;02.22
8/1/2003,1;44.682
9/1/2003,9;29.135
10/1/2003,;865.047
11/1/2003,;885.735
12/1/2003,;1.035.428
1/1/2004,1;137.226
2/1/2004,1;6.159
3/1/2004,9;54.029
4/1/2004,8;67.233
5/1/2004,8;90.302
6/1/2004,9;55.045
7/1/2004,1;17.948
8/1/2004,1;00.2025
9/1/2004,9;4.024
10/1/2004,;875.262
11/1/2004,;896.144
12/1/2004,;1.057.263
1/1/2005,1;111.614
2/1/2005,1;17.795
3/1/2005,9;89.565
4/1/2005,8;64.776
5/1/2005,8;72.234
6/1/2005,9;95.076
7/1/2005,1;83.501
8/1/2005,1;94.862
9/1/2005,9;91.155
10/1/2005,;897.567
11/1/2005,;904.587
12/1/2005,;1.082.257
1/1/2006,1;44.724
2/1/2006,1;15.196
3/1/2006,9;84.017
4/1/2006,8;75.093
5/1/2006,9;0.0222
6/1/2006,1;00.5244
7/1/2006,1;109.503
8/1/2006,1;115.192
9/1/2006,9;57.632
10/1/2006,;903.738
11/1/2006,;923.566
12/1/2006,;103.066
1/1/2007,1;120.576
2/1/2007,1;118.399
3/1/2007,9;91.925
4/1/2007,9;0.8177
5/1/2007,9;20.587
6/1/2007,1;00.9676
7/1/2007,1;75.686
8/1/2007,1;141.036
9/1/2007,1;15.316
10/1/2007,;930.068
11/1/2007,;939.126
12/1/2007,;1.067.528
1/1/2008,1;148.331
2/1/2008,1;82.353
3/1/2008,1;00.4386
4/1/2008,9;0.9944
5/1/2008,9;12.348
6/1/2008,1;39.581
7/1/2008,1;107.631
8/1/2008,1;75.665
9/1/2008,9;77.183
10/1/2008,;909.979
11/1/2008,;938.057
12/1/2008,;1.094.221
1/1/2009,1;168.316
2/1/2009,1;44.202
3/1/2009,9;78.529
4/1/2009,8;81.973
5/1/2009,8;75.366
6/1/2009,9;72.387
7/1/2009,1;39.086
8/1/2009,1;57.486
9/1/2009,9;48.823
10/1/2009,;892.977
11/1/2009,;893.585
12/1/2009,;1.106.844
1/1/2010,1;190.166
2/1/2010,1;10.533
3/1/2010,9;82.672
4/1/2010,8;6.3
5/1/2010,9;0.8364
6/1/2010,1;43.538
7/1/2010,1;128.066
8/1/2010,1;129.014
9/1/2010,1;00.1209
10/1/2010,;889.251
11/1/2010,;92.775
12/1/2010,;1.143.266
1/1/2011,1;19.488
2/1/2011,1;73.753
3/1/2011,9;91.028
4/1/2011,8;93.583
5/1/2011,9;0.0698
6/1/2011,1;28.204
7/1/2011,1;147.068
8/1/2011,1;135.958
9/1/2011,9;94.712
10/1/2011,;903.566
11/1/2011,;938.095
12/1/2011,;1.073.312
1/1/2012,1;119.646
2/1/2012,1;33.679
3/1/2012,9;35.772
4/1/2012,8;75.566
5/1/2012,9;27.603
6/1/2012,1;01.14
7/1/2012,1;130.357
8/1/2012,1;98.601
9/1/2012,9;67.431
10/1/2012,;903.805
11/1/2012,;943.417
12/1/2012,;1.052.722
1/1/2013,1;15.501
2/1/2013,1;6.734
3/1/2013,1;29.948
4/1/2013,9;10.092
5/1/2013,9;0.9634
6/1/2013,1;00.6957
7/1/2013,1;10.148
8/1/2013,1;81.756
9/1/2013,9;92.809
10/1/2013,;917.871
11/1/2013,;972.853
12/1/2013,;1.134.732
1/1/2014,1;242.549
2/1/2014,1;128.811
3/1/2014,1;47.631
4/1/2014,9;0.2867
5/1/2014,9;2.134
6/1/2014,1;1.878
7/1/2014,1;85.497
8/1/2014,1;8.194
9/1/2014,1;00.4172
10/1/2014,;923.837
11/1/2014,;997.033
12/1/2014,;1.093.477
1/1/2015,1;202.696
2/1/2015,1;163.788
3/1/2015,1;44.706
4/1/2015,8;97.461
5/1/2015,9;1.093
6/1/2015,1;26.495
7/1/2015,1;116.354
8/1/2015,1;105.925
9/1/2015,1;19.204
10/1/2015,;915.959
11/1/2015,;930.628
12/1/2015,;1.032.203
1/1/2016,1;170.837
2/1/2016,1;66.688
3/1/2016,9;53.548
4/1/2016,8;93.254
5/1/2016,9;0.7369
6/1/2016,1;40.375
7/1/2016,1;145.397
8/1/2016,1;155.159
9/1/2016,1;27.637
10/1/2016,;914.867
11/1/2016,;92.89
12/1/2016,;1.127.694
1/1/2017,1;148.505
2/1/2017,9;94.901
3/1/2017,1;10.396
4/1/2017,8;8.353
5/1/2017,9;20.805
6/1/2017,1;21.532
7/1/2017,1;121.538
8/1/2017,1;89.312
9/1/2017,9;86.154
10/1/2017,;936.137
11/1/2017,;973.359
12/1/2017,;1.147.212
1/1/2018,1;294.048
